iter	F1	Logloss
0	0.4154040404	0.5015811741
1	0.4221802142	0.47700283
2	0.4384759525	0.4663988869
3	0.4419475655	0.4593642647
4	0.4576687117	0.452721038
5	0.4673581452	0.4498653859
6	0.4786015672	0.4464087344
7	0.4934601665	0.4397911343
8	0.4988151659	0.4343224434
9	0.5117647059	0.4286451339
10	0.5225541886	0.4265093175
11	0.5433526012	0.4209946437
12	0.5451408856	0.4189903454
13	0.5580865604	0.4114273404
14	0.5741680767	0.4058185729
15	0.5881045025	0.4009351546
16	0.6032967033	0.3959480226
17	0.6058273777	0.3935371748
18	0.6155519304	0.3901314881
19	0.6168122271	0.3871378641
20	0.6236442516	0.3840004709
21	0.6291891892	0.3810864808
22	0.6336740183	0.3771528462
23	0.63174946	0.3729269903
24	0.634356489	0.3702661909
25	0.6431246656	0.3672264383
26	0.6463349385	0.3639483892
27	0.6464323749	0.3581785368
28	0.6517809676	0.3561438597
29	0.6694781234	0.3508877642
30	0.6831578947	0.346240876
31	0.6886792453	0.3439444106
32	0.6951537259	0.3418580099
33	0.7052142488	0.3364470104
34	0.7010841507	0.3342104939
35	0.7131147541	0.330203637
36	0.7166156983	0.325882624
37	0.7209775967	0.3228220445
38	0.724784592	0.3206764976
39	0.7265347539	0.317626825
40	0.7306720566	0.3137712735
41	0.7361530715	0.309945616
42	0.7343434343	0.3070633816
43	0.7403314917	0.303986678
44	0.745	0.2995024558
45	0.7519920319	0.2974824872
46	0.7562437562	0.2936112462
47	0.7682382134	0.2891567834
48	0.7735569808	0.2859647348
49	0.7741617357	0.2840074928
50	0.7744807122	0.2815370745
51	0.7832923833	0.2761132372
52	0.7921760391	0.2727227951
53	0.7933561309	0.2704165039
54	0.7990220049	0.2685851201
55	0.80078125	0.2664297412
56	0.8052580331	0.264041353
57	0.8031189084	0.2617717723
58	0.8085519922	0.2590313236
59	0.813559322	0.2568353452
60	0.8162475822	0.2556622241
61	0.8173913043	0.2535984718
62	0.8238118099	0.2505554505
63	0.8272552783	0.248348659
64	0.828379674	0.2446124305
65	0.8345323741	0.2413231275
66	0.837008629	0.2392991576
67	0.8463740458	0.2374210676
68	0.8485714286	0.2348586095
69	0.8530805687	0.2328101268
70	0.8583569405	0.2305288116
71	0.854028436	0.2290406404
72	0.8583569405	0.2262142784
73	0.8582230624	0.2242543628
74	0.8637218045	0.2218422091
75	0.8662599718	0.2198540449
76	0.8671984984	0.218603659
77	0.8740120874	0.2164542242
78	0.874535316	0.2153172236
79	0.8750580585	0.2131984435
80	0.8776645042	0.2107875546
81	0.8756957328	0.2096155291
82	0.8777312878	0.2073360863
83	0.8791106994	0.2058327237
84	0.8828161186	0.2026830718
85	0.8867313916	0.2003799871
86	0.8889916744	0.198712573
87	0.8894009217	0.1972652096
88	0.8933823529	0.195881542
89	0.8959193031	0.1938012156
90	0.8994951813	0.1921581963
91	0.9016018307	0.1906928901
92	0.9040219378	0.1884125446
93	0.9090909091	0.1853334528
94	0.9074327405	0.1842033093
95	0.9104138245	0.1823451138
96	0.9157608696	0.1803726159
97	0.9153463105	0.1797811197
98	0.9171570847	0.1786990136
99	0.9244604317	0.1748373277
100	0.9254267745	0.1725984185
101	0.9269385926	0.1704888477
102	0.927549195	0.1693790982
103	0.9289226643	0.1684664013
104	0.9307726664	0.1664922795
105	0.9292748433	0.1645987639
106	0.9327394209	0.1629360463
107	0.9345211581	0.1607700646
108	0.9346376167	0.1593044039
109	0.936	0.1581033708
110	0.9387755102	0.1570428076
111	0.9383044829	0.1566692628
112	0.9420610349	0.1547896166
113	0.9439293598	0.1531292212
114	0.9448610498	0.1524314049
