iter	Passed	Remaining
0	4	6392
1	8	5890
2	12	5880
3	16	5844
4	20	5775
5	24	5752
6	28	5731
7	32	5697
8	36	5658
9	40	5666
10	44	5658
11	48	5628
12	52	5593
13	56	5596
14	60	5610
15	65	5637
16	69	5644
17	73	5641
18	77	5620
19	81	5603
20	86	5653
21	90	5641
22	94	5650
23	98	5631
24	102	5613
25	105	5598
26	110	5620
27	114	5619
28	118	5604
29	122	5615
30	128	5687
31	133	5713
32	138	5730
33	143	5782
34	148	5776
35	152	5766
36	156	5760
37	160	5763
38	165	5765
39	169	5757
40	173	5766
41	178	5761
42	182	5748
43	186	5743
44	191	5764
45	195	5759
46	199	5753
47	203	5741
48	208	5742
49	212	5740
50	216	5725
51	220	5722
52	225	5726
53	229	5712
54	233	5702
55	237	5707
56	242	5706
57	246	5702
58	250	5689
59	254	5688
60	258	5679
61	262	5671
62	266	5657
63	271	5664
64	275	5664
65	279	5653
66	283	5642
67	288	5645
68	292	5636
69	296	5629
70	300	5618
71	305	5630
72	309	5623
73	313	5614
74	317	5608
75	322	5609
76	325	5600
77	329	5591
78	333	5581
79	338	5578
80	342	5573
81	346	5563
82	350	5555
83	354	5555
84	358	5546
85	362	5535
86	367	5543
87	371	5541
88	376	5539
89	379	5528
90	384	5524
91	388	5522
92	392	5513
93	396	5506
94	400	5507
95	404	5500
96	408	5493
97	412	5481
98	417	5485
99	421	5480
100	425	5473
101	429	5465
102	433	5462
103	437	5455
104	441	5450
105	445	5442
106	452	5463
107	456	5465
108	461	5470
109	466	5471
110	470	5463
111	474	5459
112	478	5450
113	482	5446
114	487	5444
115	491	5437
116	495	5430
117	501	5445
118	505	5439
119	509	5431
120	512	5422
121	517	5416
122	521	5410
123	524	5401
124	528	5392
125	533	5389
126	537	5383
127	541	5378
128	545	5372
129	549	5365
130	553	5358
131	557	5352
132	561	5345
133	565	5339
134	569	5332
135	572	5324
136	576	5318
137	580	5312
138	584	5304
139	588	5298
140	592	5290
141	596	5284
142	600	5278
143	604	5272
144	608	5266
145	612	5260
146	616	5252
147	620	5245
148	624	5239
149	628	5234
150	632	5228
151	636	5221
152	640	5216
153	643	5208
154	647	5203
155	651	5196
156	655	5187
157	659	5182
158	663	5176
159	667	5170
160	671	5164
161	675	5158
162	678	5152
163	682	5146
164	686	5140
165	690	5134
166	694	5130
167	698	5124
168	702	5117
169	706	5111
170	710	5105
171	714	5101
172	718	5093
173	722	5088
174	726	5083
175	730	5078
176	734	5072
177	738	5067
178	741	5060
179	746	5056
180	749	5050
181	753	5043
182	757	5039
183	761	5032
184	765	5026
185	769	5021
186	773	5016
187	777	5010
188	781	5005
189	785	5000
190	788	4994
191	792	4988
192	796	4983
193	800	4979
194	804	4973
195	808	4968
196	812	4962
197	816	4956
198	820	4950
199	824	4945
200	828	4939
201	832	4934
202	835	4929
203	839	4924
204	843	4917
205	847	4912
206	851	4907
207	855	4901
208	859	4896
209	863	4891
210	867	4886
211	871	4881
212	875	4877
213	879	4872
214	883	4867
215	886	4861
216	890	4856
217	894	4850
218	898	4846
219	902	4841
220	906	4837
221	910	4832
222	914	4827
223	918	4822
224	922	4816
225	926	4811
226	930	4805
227	933	4800
228	937	4795
229	941	4790
230	945	4785
231	949	4781
232	953	4776
233	957	4770
234	961	4764
235	964	4759
236	968	4754
237	973	4751
238	977	4746
239	980	4741
240	984	4735
241	988	4730
242	992	4725
